Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Confort.com,,,,,,,,,,,,,,
,ANALISIS DE LA PLANIFICACION FINANCIERA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Estado de resultados,,,,,,,Flujo de Caja,,,,,,,
,,2022.0,2023.0,2024.0,2025.0,2026.0,,,2022.0,2023.0,2024.0,2025.0,2026.0,Acum.,
,Ventas,918000.0000000001,1239300.0000000002,1673055.0000000005,2258624.250000001,3049142.7375000017,,SALDO INICIAL,104445.62585321383,115707.8533,165817.6803,334609.745,566718.9118,104445.6259,
,Compras de materia prima,-403920.00000000006,-545292.0000000001,-702683.1000000002,-948622.1850000004,-1280639.9497500006,,,,,,,,,
,Gastos de personal obrero,-60588.000000000015,-85511.70000000001,-115440.79500000001,-162620.94600000005,-228685.7053125001,,INGRESOS,967500.0000000001,1239300.0000000002,1673055.0000000005,2258624.250000001,3049142.7375000017,9187621.988,
,Utilidad bruta,453492.0,608496.3,854931.105,1147381.119,1539817.082,,,,,,,,,
,Gastos de personal administrativo,-118800.00000000001,-136620.0,-157113.0,-188535.6,-235669.5,,EGRESOS OPERATIVOS,705746.2475,893977.9864,1152895.339,1533827.929,2055364.55,6341812.051,
,Gastos de Servicios generales,-74250.0,-85387.5,-98195.62499999999,-117834.74999999999,-147293.43749999997,,Materia prima,395260.00000000006,499851.0000000001,644126.1750000002,869570.3362500004,1173919.9539375005,3582727.465,
,Gasto de depreciación Mobiliario y enseres,-4590.000000000001,-6196.500000000001,-8365.275000000003,-11293.121250000006,-15245.713687500009,,Nómina producción,60588.000000000015,85511.70000000001,115440.79500000001,162620.94600000005,228685.7053125001,652847.1463,
,Gasto de depreciación Maquinarias planta,-4590.000000000001,-6196.500000000001,-8365.275000000003,-11293.121250000006,-15245.713687500009,,Nómina administrativa,118800.00000000001,136620.0,157113.0,188535.6,235669.5,836738.1,
,EBITDA,251262.0,374095.8,582891.93,818424.5265,1126362.718,,Servicios generales,68712.5,78271.875,90012.6604091536,108015.18899346495,135018.9851539859,480031.2096,
,Costos financieros,-7719.009913103613,-5202.154564803445,-4081.096275466849,-4081.096275466849,-4081.096275466849,,Impuestos,60885.74752172411,92223.41135879915,144702.70843113333,203585.85755613341,280570.40532175853,781968.1302,
,Utilidad antes de impuestos,243542.9901,368893.6454,578810.8337,814343.4302,1122281.621,,Otros egresos,1500.0,1500.0,1500.0,1500.0,1500.0,7500,
,Impuestos sobre beneficios,-60885.74752172411,-92223.41135879915,-144702.70843113333,-203585.85755613341,-280570.40532175853,,,,,,,,,
,Utilidad neta,182657.2426,276670.2341,434108.1253,610757.5727,841711.216,,SALDO OPERATIVO,261753.7525,345322.0136,520159.6612,724796.3212,993778.1878,2845809.936,
,,,,,,,,,,,,,,,
,,,,,,,,INVERSIONES,,,,,,0,
,Estado de Situación o Balance General,,,,,,,,,,,,,,
,,2022.0,2023.0,2024.0,2025.0,2026.0,,Saldo a/financiamiento,261753.7525,345322.0136,520159.6612,724796.3212,993778.1878,2845809.936,
,Mobiliarios y enseres,52000.0,52000.0,52000.0,52000.0,52000.0,,,,,,,,,
,Depreciación acumulada mobiliarios y enseres,-8790.0,-6196.500000000001,-8365.276386384543,-11293.123988019119,-15245.717426632455,,DEUDA NETA,,,,,,,
,Maquinarias de planta,125000.0,125000.0,125000.0,125000.0,125000.0,,(Adquisisión de deuda),-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-1250000,
,Depreciación acumulada maquinarias planta,-17510.0,-23706.5,-32071.775,-43364.896250000005,-58610.60993750001,,Amortización de deuda,346646.7210289849,318673.84482422896,249999.99999999997,249999.99999999997,249999.99999999997,1415320.566,
,Activo Fijo,150700.0,147097.0,136562.9486,122341.9798,103143.6726,,Intereses sobre deuda,7719.009913103613,5202.154564803445,4081.096275466849,4081.096275466849,4081.096275466849,25164.4533,
,Cuentas por cobrar ,0.0,0.0,0.0,0.0,0.0,,Deuda neta,104365.7309,73875.99939,4081.096275,4081.096275,4081.096275,190485.0192,
,Inventario,8000.0,8000.0,8000.0,8000.0,8000.0,,,,,,,,,
,Caja y Bancos,138072.52738940134,362808.47864156973,822138.1450213543,1470034.2315513892,2362198.778923403,,SOCIOS,146125.7941,221336.1873,347286.5002,488606.0581,673368.9728,1876723.512,
,Activo Corriente,146072.5274,370808.4786,830138.145,1478034.232,2370198.779,,(Aportes),,,,,,0,
,Total Activo,296772.5274,517905.4786,966701.0936,1600376.211,2473342.452,,Dividendos (80% del margen),146125.79405213785,221336.18726111797,347286.50023472006,488606.0581347202,673368.9727722206,1876723.512,
,,,,,,,,,,,,,,,
,Deuda a corto plazo,0.0,0.0,0.0,0.0,0.0,,SALDO DEL PERIODO,11262.22748,50109.82699,168792.0646,232109.1668,316328.1187,778601.4046,
,Cuentas por pagar proveedores materia prima,33660.00000000001,45441.00000000001,58556.92500000002,79051.84875000003,106719.99581250006,,,,,,,,,
,Cuentas por pagar proveedores servicios,6187.5,7115.625,8182.968749999999,9819.562499999998,12274.453124999998,,SALDO FINAL,115707.8533,165817.6803,334609.745,566718.9118,883047.0305,883047.0305,-4.656612873e-10
,Obligaciones laborales por pagar,1793.8800000000003,2221.317,2725.5379500000004,3511.565460000001,4643.552053125001,,,,,,,,,
,Pasivo Circulante,41641.38,54777.942,69465.4317,92382.97671,123638.001,,,,,,,,,
,,,,,,,,,,,,,,,
,Deuda a largo plazo,68673.84482422899,0.0,0.0,0.0,0.0,,,,,,,,,
,,,,,,,,,,,,,,,
,Total Pasivo,110315.2248,54777.942,69465.4317,92382.97671,123638.001,,,,,,,,,
,,,,,,,,,,,,,,,
,Capital Social,3000.06,3000.06,3000.06,3000.06,3000.06,,,,,,,,,
,Reserva legal,800.0,800.0,800.0,800.0,800.0,,,,,,,,,
,Utilidades no distribuidas,0.0,182657.24256517232,459327.47664156975,893435.6019349698,1504193.17460337,,,,,,,,,
,Resultado del Ejercicio (Pérdidas),182657.24256517232,276670.23407639744,434108.1252934,610757.5726684002,841711.2159652757,,,,,,,,,
,Patrimonio neto,186457.3026,463127.5366,897235.6619,1507993.235,2349704.451,,,,,,,,,
,,,,,,,,,,,,,,,
,Pasivo y Patrimonio,296772.5274,517905.4786,966701.0936,1600376.211,2473342.452,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
,,,,,,,,,,,,,,,
,Indicadores financieros,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Utilidad Bruta,0.494,0.491,0.511,0.508,0.505,,,,,,,,,
,EBITDA,0.2737058824,0.3018605664,0.3483997418,0.362355326,0.3694030797,,,,,,,,,
,Utilidad Neta,0.1989730311,0.2232471831,0.2594703254,0.2704113235,0.2760484793,,,,,,,,,
,,,,,,,,,,,,,,,
,Capital Trabajo Neto (Activo circulante - Pasivo Circulante),104431.1474,316030.5366,760672.7133,1385651.255,2246560.778,,,,,,,,,
,,,,,,,,,,,,,,,
,LIQUIDEZ,,,,,,,,,,,,,,
,Razón Circulante (Activo corriente / Pasivo corriente),3.507869513,6.769302845,11.95037769,15.99898904,19.17047154,,,,,,,,,
,Prueba Acida (Activo corriente - Invent./ Pasivo corriente),4.101976452,7.984165812,14.03998152,18.59582356,22.13454715,,,,,,,,,
,,,,,,,,,,,,,,,
,APALANCAMIENTO,,,,,,,,,,,,,,
,Pasivo / Activo,0.3717164314,0.1057682227,0.07185823225,0.05772578726,0.04998822582,,,,,,,,,
,Apalancamiento (Pasivo / Patrimonio),0.591637996,0.1182783092,0.07742161246,0.06126219574,0.05261853292,,,,,,,,,
,Deuda Financiera / Patrimonio,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
