Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Confort.com,,,,,,,
,ORGANIZACIÓN,,,,,,,
,,,,,,,,
,,,,,,,Cargo,Costo Anual USD
,,,,,,,Direccción General,24000
,,,,,,,Gerente de Operaciones,12000
,,,,,,,Gerente de Mercadeo,12000
,,,,,,,Gerente de Tecnología,12000
,,,,,,,Gerente de Admón y RRHH,12000
,,,,,,,Personal obrero producción,16800
,,,,,,,Personal obrero embalaje,7200
,,,,,,,Personal de Calidad,3600
,,,,,,,Analista Marketing,8400
,,,,,,,Atención al cliente,8400
,,,,,,,Soporte técnico,8400
,,,,,,,Administrador de sitio web,8400
,,,,,,,Analista de Admon,7200
,,,,,,,Analista de RRHH,8400
,,,,,,,Total USD,148800
,,,,,,,,
,,,,,,,Produccion,39600
,,,,,,,Administración,109200
